ein,org_name,state,city,tax_period_end,fiscal_year,return_type,total_revenue,total_expenses,total_assets_eoy,total_liabilities_eoy,net_assets_eoy,net_assets_boy,contributions_grants,government_grants,program_service_revenue,investment_income,other_revenue,pct_contributions,pct_program_revenue,pct_investment_income,pct_other_revenue,program_expenses,management_general_expenses,fundraising_expenses,total_functional_expenses,grants_paid,compensation_top_officer,cash_non_interest_bearing,savings_temporary_investments,unrestricted_net_assets,temp_restricted_net_assets,perm_restricted_net_assets,num_employees,num_voting_board_members,formation_year,mission_desc,years_of_data,submitted_on,ntee_code,ntee_major_category,ntee_major_category_name
204374795,Jacobs & Cushman San Diego Food Bank,CA,San Diego,2024-06-30,2023,990,110322332.0,101253679.0,116264697.0,19222307.0,97042390.0,80473486.0,106648225.0,40086850.0,791681.0,1346581.0,1535845.0,0.9666966158764664,0.007176072021392731,0.012205878679214287,0.013921433422926557,93855463.0,1992793.0,5405423.0,101253679.0,24759.0,772538.0,1124984.0,246079.0,96138912.0,903478.0,,119,23,2005,"Provide food to people in need, advocate for the hungry and educate the public about hunger issues.",14,,K31,K,"Food, Agriculture & Nutrition"
237071436,GOODWILL INDUSTRIES OF THE COLUMBIA INC,WA,KENNEWICK,2024-12-31,2024,990,42952532.0,39275266.0,64605185.0,5759572.0,58845613.0,54750421.0,14538997.0,378080.0,26885304.0,1094018.0,434213.0,0.3384898706320736,0.625930597060029,0.025470396017631743,0.01010913629026573,37336410.0,1938856.0,0.0,39275266.0,414337.0,,96449.0,18642811.0,58796336.0,,,549,13,1970,THE MISSION OF GOODWILL INDUSTRIES OF THE COLUMBIA IS TO PROVIDE SERVICES THAT HELP PEOPLE WITH DISABILITIES AND DISADVANTAGING CONDITIONS TO ACHIEVE THEIR HIGHEST LEVEL OF EMPLOYMENT.,15,2025-11-17T14:37:38-06:00,J32Z,J,Employment
203812932,BOYS & GIRLS CLUBS OF THE SAN GORGONIO PASS,CA,BEAUMONT,2024-12-31,2024,990,4205098.0,3479098.0,3108203.0,424188.0,2684015.0,1958015.0,3889538.0,3644996.0,201850.0,32287.0,81423.0,0.9249577536599622,0.0480012594236805,0.0076780612485131145,0.019362925667844127,3234507.0,216751.0,27840.0,3479098.0,0.0,53276.0,391043.0,1822237.0,2684015.0,,,203,7,2005,"TO INSPIRE AND ENABLE ALL YOUNG PEOPLE ESPECIALLY THOSE IN NEED TO REALIZE THEIR FULL POTENTIAL AS PRODUCTIVE, RESPONSIBLE AND CARING CITIZENS.",10,2025-11-14T18:33:20-05:00,B90,B,Education
201384250,St Helena Hospital Foundation,CA,St Helena,2024-12-31,2024,990,4517703.0,6848178.0,39091115.0,494673.0,38596442.0,38846674.0,3248473.0,,0.0,31762.0,1237468.0,0.7190541299416983,0.0,0.0070305639835110895,0.27391530607479064,4601908.0,164122.0,2082148.0,6848178.0,4601908.0,871209.0,548738.0,0.0,16614907.0,,,0,30,2004,To provide philanthropic support and enhance community connection for Adventist Health St. Helena and its vision to transform the health of our communities.,19,2025-11-13T12:44:59-08:00,E112,E,Health
061652679,SEATTLE CHILDRENS PLAYGARDEN,WA,SEATTLE,2024-12-31,2024,990,693589.0,658787.0,912871.0,0.0,912871.0,878069.0,434167.0,,285069.0,0.0,-25647.0,0.6259715768271988,0.41100565320384264,0.0,-0.03697723003104144,378340.0,216928.0,63519.0,658787.0,0.0,125013.0,439066.0,100394.0,912871.0,,,34,9,2002,"SEATTLE CHILDREN'S PLAYGARDEN OFFERS INCLUSIVE PRESCHOOL, SUMMER CAMP, AND OPEN PLAY OPPORTUNITIES FOR CHILDREN WITH DISABILITIES AND THEIR TYPICALLY DEVELOPING SIBLINGS AND PEERS.",14,2025-10-31T12:55:36-07:00,O52,O,Youth Development
042800910,RESPONSIBLE HOSPITALITY INSTITUTE INC,CA,SCOTTS VALLEY,2024-12-31,2024,990,518236.0,387350.0,29653.0,157672.0,-128019.0,-258905.0,190000.0,,328236.0,0.0,0.0,0.3666283314937596,0.6333716685062404,0.0,0.0,268237.0,119113.0,0.0,387350.0,0.0,14308.0,16552.0,0.0,-128019.0,,,5,6,1986,PUBLIC EDUCATION,10,2025-11-10T08:59:26-08:00,F20Z,F,Mental Health & Crisis Intervention
237102713,SEQUOIA HUMANE SOCIETY,CA,EUREKA,2024-12-31,2024,990,491278.0,421717.0,457045.0,33671.0,423374.0,353813.0,351401.0,,56749.0,3890.0,79238.0,0.7152793326792569,0.11551300892773542,0.00791812375070734,0.16128953464230028,265251.0,140081.0,16385.0,421717.0,,51680.0,145759.0,139450.0,423374.0,,,22,10,1981,,16,,D200,D,Animal-Related
020549032,GIFTS FROM THE HEART FOOD BANK,WA,COUPEVILLE,2024-12-31,2024,990,211078.0,48552.0,1361063.0,0.0,1361063.0,967356.0,180164.0,0.0,0.0,30914.0,0.0,0.8535422924227063,0.0,0.1464577075772937,0.0,48552.0,0.0,0.0,48552.0,0.0,0.0,70917.0,515323.0,,,,0,5,2002,WE RESPECTFULLY PROVIDE FOOD FOR THOSE IN NEED IN THE COMMUNITY,4,,K31,K,"Food, Agriculture & Nutrition"
160470118,THE WENDE MUSEUM OF THE COLD WAR INC,CA,CULVER CITY,2024-09-30,2024,990,44521010.0,4605933.0,83828887.0,1941283.0,81887604.0,40635181.0,44243434.0,,0.0,213828.0,63748.0,0.9937652807067944,0.0,0.004802855999897576,0.0014318632933080359,3164460.0,707479.0,733994.0,4605933.0,0.0,421823.0,1944340.0,45673147.0,8203787.0,,,55,19,2002,SEE SCHEDULE O,5,2025-10-14T21:31:08-05:00,A50,A,"Arts, Culture & Humanities"
141843628,BENTON FRANKLIN LEGAL AID SOCIETY,WA,KENNEWICK,2024-12-31,2024,990,294679.0,290640.0,38554.0,4688.0,33866.0,29827.0,288815.0,148958.0,0.0,0.0,5864.0,0.980100380413942,0.0,0.0,0.01989961958605805,227088.0,54825.0,8727.0,290640.0,0.0,63815.0,38553.0,0.0,,,,5,10,1987,,2,,I80,I,Crime & Legal-Related
956125213,INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES LO 33 HEALTH AND WELFARE TRUST FUND,CA,LOS ANGELES,2024-12-31,2024,990,15780067.0,14712115.0,22505781.0,16337152.0,6168629.0,5211024.0,0.0,,14939140.0,834391.0,6536.0,0.0,0.94670954185429,0.05287626472054903,0.00041419342516099586,,,,14712115.0,0.0,0.0,6904005.0,9120930.0,,,,1,12,1965,SEE SCHEDULE O,9,2025-11-11T18:35:22-06:00,,,
